datum,dag,tijd,team,tegenstander,veld,wedstrijdnummer,scheidsrechter,opmerking,locatie
2026-08-23,ZO,15:50,Neptunus - VSU21-1,Grizzlies - VSU21-1,D1,479296,bond,,thuis
2026-08-23,ZO,10:30,Neptunus - VS-2,Red Lions - VS-2,D3,474046,MS-1,,thuis
2026-08-23,ZO,13:30,Neptunus - MHU15-2,Alphians - MHU15-1,D3,477094,VS-2,,thuis
2026-08-28,VR,19:30,Neptunus - MS-1,Spikes - MS-3,D1,474860,Ard,,thuis
2026-08-28,VR,19:30,Neptunus - MH-4,Zwijndrecht - MH-2,D2,482942,Henk,,thuis
2026-08-29,ZA,9:30,Neptunus - MBeeBallU12-1,The Hawks - MBeeBallU12-1,D1,480473,,,thuis
2026-08-29,ZA,11:30,Neptunus - MHU12-3,Euro Stars - MHU12-2,D1,478926,MHU15-2,,thuis
2026-08-29,ZA,14:00,Neptunus - VS-3,Red Lions - VS-3,D1,480974,VSU21-1,,thuis
2026-08-29,ZA,11:00,Neptunus - MBeeBallU12-2,Schiedam - MBeeBallU12-1,D3,480471,,,thuis
2026-08-30,ZO,10:30,Neptunus - VS-2,Adegeest - VS-1,D1,474051,MS-1,,thuis
2026-08-30,ZO,10:00,Neptunus - MHU21-1,Schiedam - MHU21-1,D2,475828,MH-3,,thuis
2026-08-30,ZO,14:00,Neptunus - MH-3,Ridderkerk Rowdies - MH-2,D2,472174,MH-4,,thuis
2026-09-05,ZA,10:00,Neptunus - MHU12-3,Spikes - MHU12-1,D1,478902,VS-3,,thuis
2026-09-06,ZO,10:00,Neptunus - MHU12-1,Brasschaat Braves - MHU12-1,D1,477952,MHU15-1,,thuis
2026-09-06,ZO,11:25,Neptunus - MHU12-1,Brasschaat Braves - MHU12-1,D1,478024,MHU15-1,,thuis
2026-09-06,ZO,14:00,Neptunus - MHU12-2,Schiedam - MHU12-1,D1,478268,MHU15-2,,thuis
2026-09-06,ZO,10:00,Neptunus - MHU21-1,Orioles - MHU21-1,D2,475831,MH-3,,thuis
2026-09-06,ZO,14:00,Neptunus - MH-3,Saints - MH-3,D2,472143,MH-4,,thuis
2026-09-11,VR,19:30,Neptunus - MS-1,Wizards of Boz - MS-1,D1,474866,Ard,,thuis
2026-09-11,VR,19:30,Neptunus - MH-4,Orioles - MH-2,D2,482954,Henk,,thuis
2026-09-12,ZA,10:00,Neptunus - MHU21-1,Storks - MHU21-1,D2,475792,MH-3,,thuis
2026-09-12,ZA,9:30,Neptunus - MBeeBallU12-3,Wassenaar - MBeeBallU12-4,D3,480715,,,thuis
2026-09-12,ZA,11:00,Neptunus - MBeeBallU12-2,The Hawks - MBeeBallU12-1,D3,480478,,,thuis
2026-09-13,ZO,10:30,Neptunus - VS-2,Euro Stars - VS-1,D1,474059,MS-1,,thuis
2026-09-13,ZO,14:00,Neptunus - MH-3,Schiedam - MH-3,D2,482996,MH-4,,thuis
2026-09-13,ZO,10:00,Neptunus - MHU15-2,Red Lions - MHU15-1,D3,477107,MHU21-1,,thuis
2026-09-15,DI,n.n.b.,G-Honkbal via Sportbedrijf,,D1,toernooi,,Via Karin,thuis
2026-09-19,ZA,9:30,Neptunus - MBeeBallU12-1,Saints - MBeeBallU12-1,D1,480481,,,thuis
2026-09-19,ZA,11:30,Neptunus - MHU12-3,The Hawks - MHU12-1,D1,478935,VS-3,,thuis
2026-09-19,ZA,14:00,Neptunus - VS-3,Alphians - VS-1,D1,480983,VSU21-1,,thuis
2026-09-20,ZO,10:00,Neptunus - MHU12-1,Hoofddorp Pioniers - MHU12-1,D1,477961,MHU15-1,,thuis
2026-09-20,ZO,11:25,Neptunus - MHU12-1,Hoofddorp Pioniers - MHU12-1,D1,478033,MHU15-1,,thuis
2026-09-20,ZO,14:00,Neptunus - MHU12-2,Storks - MHU12-2,D1,478279,MHU15-2,,thuis
2026-09-20,ZO,10:00,Neptunus - MHU21-1,Brasschaat Braves - MHU21-1,D2,475842,MH-3,,thuis
2026-09-20,ZO,14:00,Neptunus - MH-3,Euro Stars - MH-3,D2,472186,MS-1,,thuis
2026-09-26,ZA,10:00,Neptunus - MHU12-3,Blue Hitters - MHU12-1,D1,478924,MHU15-2,,thuis
2026-09-26,ZA,9:30,Neptunus - MBeeBallU12-3,Orioles - MBeeBallU12-2,D3,480721,,,thuis
2026-09-26,ZA,11:00,Neptunus - MBeeBallU12-2,Neptunus - MBeeBallU12-1,D3,480485,,,thuis
2026-09-27,ZO,10:00,Neptunus - MHU12-2,Storks - MHU12-1,D3,478257,MHU15-2,,thuis
2026-10-04,ZO,11:00,Neptunus - MHU12-1,RCH-Pinguins - MHU12-1,D1,477974,MS-1,477974 van 3-5 door bond gepland,thuis
2026-10-04,ZO,12:25,Neptunus - MHU12-1,RCH-Pinguins - MHU12-1,D1,477902,MS-1,477902 van 3-5 door bond gepland,thuis
2026-10-31,ZA,10:00,Elvis Weerwind jaarlijks SB uitje,,D1,,,via Mike,thuis
2026-10-31,ZA,14:00,Neptunus - MH-3,Portland Poema's - MH-1,D2,472127,MH-4,poema's geen team: 9/7?,thuis
